epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.7618,1.38551,2.25413,1.55734,0.54676,0.54241,0.53643,0.24621,1.5826,2.09716,1.84652,0.00041479,0.00041479,0.00041479
2,120.624,1.39719,1.79305,1.55576,0.5444,0.47259,0.47292,0.20298,1.84766,2.07933,2.19595,0.000790299,0.000790299,0.000790299
3,179.939,1.40466,1.68405,1.57171,0.66037,0.51874,0.57806,0.29989,1.63013,1.65251,1.91885,0.00112456,0.00112456,0.00112456
4,240.446,1.37877,1.5662,1.54722,0.61476,0.58031,0.60455,0.3246,1.49055,1.46005,1.78346,0.00106437,0.00106437,0.00106437
5,302.925,1.34388,1.47181,1.51796,0.69117,0.616,0.66275,0.35319,1.49584,1.42606,1.77037,0.0010025,0.0010025,0.0010025
6,372.328,1.31195,1.38544,1.50136,0.7214,0.59921,0.66814,0.36565,1.4528,1.30883,1.73319,0.000940625,0.000940625,0.000940625
7,451.133,1.28272,1.3159,1.4716,0.68322,0.65852,0.68601,0.36932,1.41756,1.26397,1.69539,0.00087875,0.00087875,0.00087875
8,523.525,1.24559,1.26166,1.45261,0.71834,0.67301,0.70914,0.38717,1.3995,1.18765,1.68907,0.000816875,0.000816875,0.000816875
9,594.246,1.23337,1.21114,1.43672,0.73768,0.66041,0.6987,0.38316,1.41316,1.15098,1.70537,0.000755,0.000755,0.000755
10,663.907,1.20721,1.16828,1.42398,0.74929,0.70353,0.74906,0.42098,1.35915,1.1087,1.61308,0.000693125,0.000693125,0.000693125
11,731.42,1.23882,1.10125,1.49401,0.75875,0.64684,0.71105,0.39146,1.41314,1.10347,1.68929,0.00063125,0.00063125,0.00063125
12,795.818,1.20991,1.01284,1.46569,0.74651,0.70114,0.73529,0.41312,1.36543,1.069,1.64259,0.000569375,0.000569375,0.000569375
13,859.002,1.17305,0.96085,1.44479,0.77919,0.69824,0.76041,0.43413,1.32847,1.01118,1.60134,0.0005075,0.0005075,0.0005075
14,922.316,1.14228,0.90571,1.41347,0.78695,0.702,0.75409,0.4369,1.29854,0.94441,1.57778,0.000445625,0.000445625,0.000445625
15,985.77,1.11604,0.86244,1.38357,0.78976,0.73829,0.77855,0.45028,1.27597,0.92586,1.53737,0.00038375,0.00038375,0.00038375
16,1049.82,1.09673,0.83252,1.37826,0.80207,0.74461,0.79277,0.4624,1.27917,0.89695,1.54778,0.000321875,0.000321875,0.000321875
17,1118.29,1.06985,0.78766,1.34979,0.80312,0.73924,0.78981,0.46316,1.25974,0.87626,1.55883,0.00026,0.00026,0.00026
18,1181.81,1.03844,0.74565,1.32097,0.80872,0.73544,0.77756,0.45486,1.26652,0.87917,1.55463,0.000198125,0.000198125,0.000198125
19,1243.91,1.01963,0.71505,1.30741,0.8032,0.76116,0.79192,0.46648,1.25693,0.84275,1.54237,0.00013625,0.00013625,0.00013625
20,1308.48,0.99533,0.69705,1.29127,0.81795,0.75169,0.79359,0.46796,1.25015,0.82476,1.5288,7.4375e-05,7.4375e-05,7.4375e-05
